id,source,title,author,pub-year,pub-decade,nation,genre,canonical,Multi-volume,gutenberg_url,ht_bib_key,narr-perspective,subjects,bookshelves,copyright,download_count,authors
141,gutenberg,Mansfield Park,"Austen, Jane",1814.0,1810-1819,English,nan,True,nan,https://www.gutenberg.org/cache/epub/141/pg141-images.html,nan,3rd,Adoptees -- Fiction; Children of the rich -- Fiction; Country homes -- Fiction; Cousins -- Fiction; Domestic fiction; England -- Fiction; Love stories; Uncles -- Fiction; Young women -- Fiction,Browsing: Culture/Civilization/Society; Browsing: Fiction; Browsing: Literature,False,4727,"Austen, Jane (1775-1817)"
4303,gutenberg,Denzil Quarrier,"Gissing, George",1892.0,1890-1899,English,nan,True,nan,https://www.gutenberg.org/cache/epub/4303/pg4303-images.html,nan,3rd,English fiction -- 19th century,Browsing: Fiction; Browsing: Literature,False,199,"Gissing, George (1857-1903)"
49035,gutenberg,The Changeling,"Besant, Walter",1898.0,1890-1899,English,nan,True,nan,https://www.gutenberg.org/cache/epub/49035/pg49035-images.html,nan,3rd,Adoption -- Fiction; England -- Fiction; Social classes -- England -- Fiction,Browsing: Culture/Civilization/Society; Browsing: Fiction; Browsing: Literature,False,185,"Besant, Walter (1836-1901)"
"uiuo.ark:/13960/t12n5mx4m (v.1), uiuo.ark:/13960/t9d514v0z (v.2), uiuo.ark:/13960/t6f19g419 (v.3), uiuo.ark:/13960/t7qn6n28p (v.4)",hathi,Jane de Dunstanville,"Kelly, Isabella",1813.0,1810-1819,Scottish,nan,False,4.0,nan,8720736.0,3rd,,,,,
44252,gutenberg,Richelieu,"James, George Payne Rainsford",1829.0,1820-1829,English,nan,False,nan,https://www.gutenberg.org/cache/epub/44252/pg44252-images.html,nan,3rd,"Richelieu, Armand Jean du Plessis, duc de, 1585-1642 -- Fiction",Browsing: Fiction; Browsing: Literature,False,189,"James, G. P. R. (George Payne Rainsford) (None-1860)"
23000,gutenberg,Orley Farm,"Trollope, Anthony",1862.0,1860-1869,English,nan,True,nan,https://www.gutenberg.org/cache/epub/23000/pg23000-images.html,nan,3rd,Domestic fiction; England -- Fiction; Forgers -- Fiction; Inheritance and succession -- Fiction; Landowners -- Fiction; Mothers and sons -- Fiction,Browsing: Culture/Civilization/Society; Browsing: Fiction; Browsing: Literature,False,299,"Trollope, Anthony (1815-1882)"
9387,gutenberg,Theresa Marchmont,"Gore, Catherine",1824.0,1820-1829,English,nan,False,nan,https://www.gutenberg.org/cache/epub/9387/pg9387-images.html,nan,3rd,Fiction,Browsing: Fiction; Browsing: Literature,False,155,"Gore, Mrs. (Catherine Grace Frances) (1799-1861)"
7658,gutenberg,Kenelm Chillingly,"Bulwer-Lytton, Edward",1873.0,1870-1879,English,nan,True,nan,https://www.gutenberg.org/cache/epub/7658/pg7658-images.html,nan,3rd,English fiction -- 19th century,Browsing: Fiction; Browsing: Literature,False,248,"Lytton, Edward Bulwer Lytton, Baron (1803-1873)"
23275,gutenberg,The Peasant and the Prince,"Martineau, Harriet",1841.0,1840-1849,English,nan,False,nan,https://www.gutenberg.org/cache/epub/23275/pg23275-images.html,nan,3rd,"Louis XVII, of France, 1785-1795 -- Fiction",Browsing: Fiction; Browsing: History - General; Browsing: Literature,False,234,"Martineau, Harriet (1802-1876)"
uc1.31158008480385,hathi,The Banker's Wife,"Gore, Catherine",1843.0,1840-1849,English,nan,False,nan,nan,10882984.0,3rd,,,,,
59759,gutenberg,The Executor,"Oliphant, Margaret",1861.0,1860-1869,Scottish,nan,False,nan,https://www.gutenberg.org/cache/epub/59759/pg59759-images.html,nan,3rd,England -- Social life and customs -- 19th century -- Fiction; Inheritance and succession -- Fiction; Lawyers -- Fiction,Browsing: Culture/Civilization/Society; Browsing: Fiction; Browsing: Literature,False,215,"Oliphant, Mrs. (Margaret) (1828-1897)"
"coo.31924013540483 (v.1), coo.31924064987195 (v.2)",hathi,Owen: A Waif,"Robinson, F.W.",1862.0,1860-1869,English,nan,False,2.0,nan,11405746.0,3rd,,,,,
