title,label,name_sequence,name_switch_ratio
Crucial_Instances_7516,short story collection,"['Duchess', 'Duchess', 'The', 'Claudia', 'Dale', 'Fontage', 'Grancy', 'The', 'Roberto', 'Project', 'Project']",0.8
2693_Greyfriars_Bobby,novel,"['Bobby', 'Project', 'Project']",0.5
68676_The_passionate_year,novel,"['Speed', 'Speed', 'Speed', 'Speed', 'Speed', 'Speed', 'Helen', 'Helen', 'Clare', 'And', 'Helen', 'You', 'Pritchard', 'Project']",0.5384615384615384
Ensign_Knightley_and_Other_Stories_12859,short story collection,"['The', 'None', 'The', 'Project', 'Project']",0.75
4005_Herb_of_Grace,novel,"['Malcolm', 'Malcolm', 'Malcolm', 'Malcolm', 'Malcolm', 'Anna', 'Verity', 'Amias', 'Malcolm', 'Malcolm', 'Elizabeth', 'Cedric', 'Elizabeth', 'Elizabeth', 'Malcolm', 'Malcolm', 'Malcolm', 'Malcolm', 'Jacobi', 'Malcolm', 'Elizabeth', 'Malcolm', 'Malcolm', 'Elizabeth', 'Malcolm', 'Malcolm', 'Jacobi', 'Cedric', 'Malcolm', 'Malcolm', 'Malcolm', 'Malcolm', 'Malcolm', 'Malcolm', 'David', 'David', 'David', 'Malcolm', 'Malcolm', 'Malcolm', 'Malcolm', 'Elizabeth', 'Elizabeth', 'Project']",0.4883720930232558
36236_Dorothy_s_Double__Volume_2__of_3_,novel,"['Hawtrey', 'Hawtrey', 'Dorothy', 'Captain', 'Armstrong', 'Warbles', 'Murdoch', 'Project']",0.8571428571428571
The_Talking_Horse_and_Other_Tales_27284,short story collection,"['None', 'The', 'You', 'Priscilla', 'George', 'Ella', 'Daisy', 'Hazel', 'Indians', 'You', 'Tommy', 'Marjory', 'Mrs', 'The', 'Project', 'Project']",0.9333333333333333
66186_The_collected_works_of_Henrik_Ibsen__Vol__02__of_1,novel,"['King', 'Project', 'Project']",0.5
27072_The_Flying_Doctor___Le_Médecin_Volant_,novel,"['Project', 'Project', 'Project']",0.0
5950_The_Fortunes_of_Nigel,novel,"['The', 'Master', 'Richie', 'Heriot', 'Heriot', 'Sir', 'Nigel', 'Dame', 'Lord', 'Lord', 'Lord', 'Lord', 'Lord', 'Richie', 'Sir', 'Lord', 'Duke', 'Lady', 'Margaret', 'Margaret', 'Dame', 'Nigel', 'Nigel', 'Nigel', 'Nigel', 'Glenvarloch', 'Nigel', 'Nigel', 'Heriot', 'Sir', 'Richie', 'Lord', 'Lord', 'Lord', 'Richie', 'Lord', 'The']",0.6666666666666666
The_Exiles_and_Other_Stories_16090,short story collection,"['The', 'And', 'None', 'Frontispiece', 'None', 'Holcombe', 'The', 'You', 'The', 'She', 'Stuart', 'Stedman', 'Project', 'Project']",0.9230769230769231
