title,author,gutenberg_id,download_url,saved_filename
"Rodman the Boatsteerer, and Other Stories",Louis Becke,24836,https://www.gutenberg.org/ebooks/24836.txt.utf-8,Rodman_the_Boatsteerer__and_Other_Stories_24836.txt
"Afterwards, and Other Stories",Ian Maclaren,43192,https://www.gutenberg.org/ebooks/43192.txt.utf-8,Afterwards__and_Other_Stories_43192.txt
Little Tora the Swedish Schoolmistress and Other Stories,Sarah Schoonmaker Baker,22195,https://www.gutenberg.org/ebooks/22195.txt.utf-8,Little_Tora_the_Swedish_Schoolmistress_and_Other_Stories_22195.txt
Tales of Unrest,Joseph Conrad,1202,https://www.gutenberg.org/ebooks/1202.txt.utf-8,Tales_of_Unrest_1202.txt
The Mystery of Choice,Robert W,46581,https://www.gutenberg.org/ebooks/46581.txt.utf-8,The_Mystery_of_Choice_46581.txt
Miss Cayley's Adventures,Grant Allen,30970,https://www.gutenberg.org/ebooks/30970.txt.utf-8,Miss_Cayley_s_Adventures_30970.txt
The Greater Inclination,Edith Wharton,9190,https://www.gutenberg.org/ebooks/9190.txt.utf-8,The_Greater_Inclination_9190.txt
The Amateur Cracksman,Ernest William Hornung,20592,https://www.gutenberg.org/files/20592/20592-readme.txt,The_Amateur_Cracksman_20592.txt
The Green Flag and Other Stories of War and Sport,Arthur Conan Doyle,10446,https://www.gutenberg.org/ebooks/10446.txt.utf-8,The_Green_Flag_and_Other_Stories_of_War_and_Sport_10446.txt
In a Quiet Village,Sabine Baring-Gould,56527,https://www.gutenberg.org/ebooks/56527.txt.utf-8,In_a_Quiet_Village_56527.txt
"In Bad Company, and Other Stories",Rolf Boldrewood,51314,https://www.gutenberg.org/ebooks/51314.txt.utf-8,In_Bad_Company__and_Other_Stories_51314.txt
"By Rock and Pool on an Austral Shore, and Other Stories",Louis Becke,12798,https://www.gutenberg.org/ebooks/12798.txt.utf-8,By_Rock_and_Pool_on_an_Austral_Shore__and_Other_Stories_12798.txt
Ensign Knightley and Other Stories,A,12859,https://www.gutenberg.org/ebooks/12859.txt.utf-8,Ensign_Knightley_and_Other_Stories_12859.txt
Amusement Only,Richard Marsh,38188,https://www.gutenberg.org/ebooks/38188.txt.utf-8,Amusement_Only_38188.txt
Mooswa and Others of the Boundaries,William Alexander Fraser,42226,https://www.gutenberg.org/ebooks/42226.txt.utf-8,Mooswa_and_Others_of_the_Boundaries_42226.txt
In the Fog,Richard Harding Davis,7884,https://www.gutenberg.org/ebooks/7884.txt.utf-8,In_the_Fog_7884.txt
Joe Wilson and his Mates,Henry Lawson,1036,https://www.gutenberg.org/ebooks/1036.txt.utf-8,Joe_Wilson_and_his_Mates_1036.txt
Crucial Instances,Edith Wharton,7516,https://www.gutenberg.org/ebooks/7516.txt.utf-8,Crucial_Instances_7516.txt
A Crime of the Under-Seas,Guy Boothby,36118,https://www.gutenberg.org/ebooks/36118.txt.utf-8,A_Crime_of_the_Under-Seas_36118.txt
The House of Cobwebs and Other Stories,George Gissing,11603,https://www.gutenberg.org/ebooks/11603.txt.utf-8,The_House_of_Cobwebs_and_Other_Stories_11603.txt
